parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRQN,ST.CA.TO.CNR,1273
HRQN,ST.CA.TO.CP,2046
HRQN,ST.CA.TO.CSU,18
HRQN,ST.CA.TO.DOL,1270
HRQN,ST.CA.TO.DSG,556
HRQN,ST.CA.TO.EMA,1784
HRQN,ST.CA.TO.ENB,3950
HRQN,ST.CA.TO.FFH,96
HRQN,ST.CA.TO.FNV,733
HRQN,ST.CA.TO.FTS,3151
HRQN,ST.CA.TO.GIB.A,1113
HRQN,ST.CA.TO.H,1903
HRQN,ST.CA.TO.IFC,814
HRQN,ST.CA.TO.L,2398
HRQN,ST.CA.TO.MRU,859
HRQN,ST.CA.TO.NA,1728
HRQN,ST.CA.TO.POW,2178
HRQN,ST.CA.TO.PPL,2102
HRQN,ST.CA.TO.QSR,1402
HRQN,ST.CA.TO.RBA,674
HRQN,ST.CA.TO.RY,1250
HRQN,ST.CA.TO.SLF,2244
HRQN,ST.CA.TO.STN,501
HRQN,ST.CA.TO.SU,1982
HRQN,ST.CA.TO.T,6884
HRQN,ST.CA.TO.TD,2267
HRQN,ST.CA.TO.TOU,1045
HRQN,ST.CA.TO.TRI,433
HRQN,ST.CA.TO.TRP,3672
HRQN,ST.CA.TO.WCN,1164
HRQN,ST.CA.TO.WN,795
HRQN,ST.CA.TO.WPM,1294
HRQN,ST.CA.TO.WSP,400
HRQN,ST.CA.TO.X,1254
HRQO,EO.US.US.AAPL..C260.20260220,-481
HRQO,EO.US.US.AAPL..C280.20260306,-576
HRQO,ST.US.US.AAPL,328880
HRQP,EO.US.US.AAPL..C260.20260220,-32
HRQP,EO.US.US.AAPL..C262-5.20260220,-22
HRQP,EO.US.US.AMD..C240.20260220,-36
HRQP,EO.US.US.AMD..C257-5.20260220,-23
HRQP,EO.US.US.AMZN..C240.20260220,-34
HRQP,EO.US.US.AMZN..C247-5.20260220,-23
HRQP,EO.US.US.AVGO..C340.20260220,-17
HRQP,EO.US.US.AVGO..C350.20260220,-25
HRQP,EO.US.US.COIN..C217-5.20260220,-12
HRQP,EO.US.US.COIN..C250.20260220,-18
HRQP,EO.US.US.COST..C970.20260220,-6
HRQP,EO.US.US.COST..C980.20260220,-4
HRQP,EO.US.US.CRCL..C76.20260220,-24
HRQP,EO.US.US.CRCL..C80.20260220,-32
HRQP,EO.US.US.CRWD..C485.20260220,-12
HRQP,EO.US.US.GOOGL..C335.20260220,-30
